Uhrzeit_F;objekt;status_code;zeitstempel;version;tme;rbc;rbt;car;amp;err;ast;alw;stp;cbl;pha;tmp;dws;dwo;adi;uby;eto;wst;txi;nrg;fwv;sse;wss;wke;wen;cdi;tof;tds;lbr;aho;afi;azo;ama;al1;al2;al3;al4;al5;cid;cch;cfi;lse;ust;wak;r1x;dto;nmo;sch;sdp;eca;ecr;ecd;ec4;ec5;ec6;ec7;ec8;ec9;ec1;rca;rcr;rcd;rc4;rc5;rc6;rc7;rc8;rc9;rc1;rna;rnm;rne;rn4;rn5;rn6;rn7;rn8;rn9;rn1;loe;lot;lom;lop;log;lon;lof;loa;lch;mce;mcs;mcp;mcu;mck;mcc;
16:49:26;Go-E;200;1686926966.103946;B;1606231649;142;1119765581;2;6;0;0;1;0;32;63;23;9794;0;0;0;31310;3;0;[223, 225, 226, 1, 60, 60, 59, 0, 0, 1, 0, 27, 5, 6, 7, 12];041.0;006565;Equestria;***************;1;0;101;1;156;3;7;1;32;6;9;12;16;32;65280;16776960;255;1;1;b956374b7a;2;0;0;AAAAAAAAAAAAAAAA;0;0;0;0;0;0;0;0;0;0;0;992B7648;;;;;;;;;;;;;;;;;;;;0;0;0;0;;0;0;0;0;0;test.mosquitto.org;1883;;;0;
16:49:35;Go-E;200;1686926966.103946;B;1606231649;142;1119765581;2;6;0;0;1;0;32;63;23;9794;0;0;0;31310;3;0;[223, 225, 226, 1, 60, 60, 59, 0, 0, 1, 0, 27, 5, 6, 7, 12];041.0;006565;Equestria;***************;1;0;101;1;156;3;7;1;32;6;9;12;16;32;65280;16776960;255;1;1;b956374b7a;2;0;0;AAAAAAAAAAAAAAAA;0;0;0;0;0;0;0;0;0;0;0;992B7648;;;;;;;;;;;;;;;;;;;;0;0;0;0;;0;0;0;0;0;test.mosquitto.org;1883;;;0;
16:49:44;Go-E;200;1686926984.6486392;B;1606231649;142;1119784119;2;6;0;0;1;0;32;63;23;10278;0;0;0;31310;3;0;[222, 225, 226, 1, 60, 59, 59, 0, 0, 0, 0, 26, 6, 6, 7, 4];041.0;006565;Equestria;***************;1;0;101;1;156;3;7;1;32;6;9;12;16;32;65280;16776960;255;1;1;b956374b7a;2;0;0;AAAAAAAAAAAAAAAA;0;0;0;0;0;0;0;0;0;0;0;992B7648;;;;;;;;;;;;;;;;;;;;0;0;0;0;;0;0;0;0;0;test.mosquitto.org;1883;;;0;
16:49:53;Go-E;200;1686926984.6486392;B;1606231649;142;1119784119;2;6;0;0;1;0;32;63;23;10278;0;0;0;31310;3;0;[222, 225, 226, 1, 60, 59, 59, 0, 0, 0, 0, 26, 6, 6, 7, 4];041.0;006565;Equestria;***************;1;0;101;1;156;3;7;1;32;6;9;12;16;32;65280;16776960;255;1;1;b956374b7a;2;0;0;AAAAAAAAAAAAAAAA;0;0;0;0;0;0;0;0;0;0;0;992B7648;;;;;;;;;;;;;;;;;;;;0;0;0;0;;0;0;0;0;0;test.mosquitto.org;1883;;;0;
16:50:03;Go-E;200;1686927003.0362277;B;1606231650;142;1119802518;2;9;0;0;1;0;32;63;23;11436;0;0;0;31310;3;0;[222, 224, 225, 1, 81, 82, 80, 13, 14, 12, 0, 403, 73, 76, 71, 3];041.0;006565;Equestria;***************;1;0;101;1;156;3;7;1;32;6;9;12;16;32;65280;16776960;255;1;1;b956374b7a;2;0;0;AAAAAAAAAAAAAAAA;0;0;0;0;0;0;0;0;0;0;0;992B7648;;;;;;;;;;;;;;;;;;;;0;0;0;0;;0;0;0;0;0;test.mosquitto.org;1883;;;0;
16:50:12;Go-E;200;1686927003.0362277;B;1606231650;142;1119802518;2;9;0;0;1;0;32;63;23;11436;0;0;0;31310;3;0;[222, 224, 225, 1, 81, 82, 80, 13, 14, 12, 0, 403, 73, 76, 71, 3];041.0;006565;Equestria;***************;1;0;101;1;156;3;7;1;32;6;9;12;16;32;65280;16776960;255;1;1;b956374b7a;2;0;0;AAAAAAAAAAAAAAAA;0;0;0;0;0;0;0;0;0;0;0;992B7648;;;;;;;;;;;;;;;;;;;;0;0;0;0;;0;0;0;0;0;test.mosquitto.org;1883;;;0;
16:50:21;Go-E;200;1686927021.7697172;B;1606231650;142;1119821243;2;10;0;0;1;0;32;63;23;20179;0;0;0;31310;3;0;[222, 224, 224, 2, 87, 89, 87, 15, 16, 15, 0, 463, 78, 80, 76, 5];041.0;006565;Equestria;***************;1;0;101;1;156;3;7;1;32;6;9;12;16;32;65280;16776960;255;1;1;b956374b7a;2;0;0;AAAAAAAAAAAAAAAA;0;0;0;0;0;0;0;0;0;0;0;992B7648;;;;;;;;;;;;;;;;;;;;0;0;0;0;;0;0;0;0;0;test.mosquitto.org;1883;;;0;
16:50:30;Go-E;200;1686927021.7697172;B;1606231650;142;1119821243;2;10;0;0;1;0;32;63;23;20179;0;0;0;31310;3;0;[222, 224, 224, 2, 87, 89, 87, 15, 16, 15, 0, 463, 78, 80, 76, 5];041.0;006565;Equestria;***************;1;0;101;1;156;3;7;1;32;6;9;12;16;32;65280;16776960;255;1;1;b956374b7a;2;0;0;AAAAAAAAAAAAAAAA;0;0;0;0;0;0;0;0;0;0;0;992B7648;;;;;;;;;;;;;;;;;;;;0;0;0;0;;0;0;0;0;0;test.mosquitto.org;1883;;;0;
16:50:40;Go-E;200;1686927040.1471632;B;1606231650;142;1119839625;2;10;0;0;1;0;32;63;23;28574;0;0;0;31310;3;0;[223, 223, 225, 1, 89, 89, 86, 15, 15, 14, 0, 463, 78, 80, 74, 1];041.0;006565;Equestria;***************;1;0;101;1;156;3;7;1;32;6;9;12;16;32;65280;16776960;255;1;1;b956374b7a;2;0;0;AAAAAAAAAAAAAAAA;0;0;0;0;0;0;0;0;0;0;0;992B7648;;;;;;;;;;;;;;;;;;;;0;0;0;0;;0;0;0;0;0;test.mosquitto.org;1883;;;0;
16:50:50;Go-E;200;1686927040.1471632;B;1606231650;142;1119839625;2;10;0;0;1;0;32;63;23;28574;0;0;0;31310;3;0;[223, 223, 225, 1, 89, 89, 86, 15, 15, 14, 0, 463, 78, 80, 74, 1];041.0;006565;Equestria;***************;1;0;101;1;156;3;7;1;32;6;9;12;16;32;65280;16776960;255;1;1;b956374b7a;2;0;0;AAAAAAAAAAAAAAAA;0;0;0;0;0;0;0;0;0;0;0;992B7648;;;;;;;;;;;;;;;;;;;;0;0;0;0;;0;0;0;0;0;test.mosquitto.org;1883;;;0;
