Uhrzeit_F;objekt;status_code;zeitstempel;Apparent_output;BackupBuffer;BatteryCharging;BatteryDischarging;Consumption_Avg;Consumption_W;Fac;FlowConsumptionBattery;FlowConsumptionGrid;FlowConsumptionProduction;FlowGridBattery;FlowProductionBattery;FlowProductionGrid;GridFeedIn_W;IsSystemInstalled;OperatingMode;Pac_total_W;Production_W;RSOC;RemainingCapacity_Wh;Sac1;Sac2;Sac3;SystemStatus;Timestamp;USOC;Uac;Ubat;dischargeNotAllowed;generator_autostart;
16:49:26;SB;200;1686926966.2006752;98;0;False;False;200;216;49.957000732421875;False;False;True;False;False;True;6202;1;2;-2;6421;100;20880;98;None;None;OnGrid;2023-06-16 14:49:25;100;239;214;False;False;
16:49:35;SB;200;1686926966.2006752;98;0;False;False;200;216;49.957000732421875;False;False;True;False;False;True;6202;1;2;-2;6421;100;20880;98;None;None;OnGrid;2023-06-16 14:49:25;100;239;214;False;False;
16:49:44;SB;200;1686926984.7184525;97;0;False;False;213;266;49.9640007019043;False;False;True;False;False;True;6129;1;2;-2;6397;100;20879;97;None;None;OnGrid;2023-06-16 14:49:44;100;239;214;False;False;
16:49:53;SB;200;1686926984.7184525;97;0;False;False;213;266;49.9640007019043;False;False;True;False;False;True;6129;1;2;-2;6397;100;20879;97;None;None;OnGrid;2023-06-16 14:49:44;100;239;214;False;False;
16:50:03;SB;200;1686927003.1518874;97;0;False;False;220;237;49.965999603271484;False;False;True;False;False;True;6147;1;2;-2;6386;100;20879;97;None;None;OnGrid;2023-06-16 14:50:02;100;238;214;False;False;
16:50:12;SB;200;1686927003.1518874;97;0;False;False;220;237;49.965999603271484;False;False;True;False;False;True;6147;1;2;-2;6386;100;20879;97;None;None;OnGrid;2023-06-16 14:50:02;100;238;214;False;False;
16:50:21;SB;200;1686927021.8046405;97;0;False;False;1788;5329;49.96200180053711;False;False;True;False;False;True;1038;1;2;-2;6370;100;20879;97;None;None;OnGrid;2023-06-16 14:50:21;100;238;214;False;False;
16:50:30;SB;200;1686927021.8046405;97;0;False;False;1788;5329;49.96200180053711;False;False;True;False;False;True;1038;1;2;-2;6370;100;20879;97;None;None;OnGrid;2023-06-16 14:50:21;100;238;214;False;False;
16:50:40;SB;200;1686927040.7972941;98;0;False;False;3221;5300;49.95500183105469;False;False;True;False;False;True;966;1;2;-2;6269;100;20878;98;None;None;OnGrid;2023-06-16 14:50:39;100;238;214;False;False;
16:50:50;SB;200;1686927040.7972941;98;0;False;False;3221;5300;49.95500183105469;False;False;True;False;False;True;966;1;2;-2;6269;100;20878;98;None;None;OnGrid;2023-06-16 14:50:39;100;238;214;False;False;
16:50:59;SB;200;1686927059.531334;97;0;False;False;4801;4557;49.95500183105469;False;False;True;False;False;True;1565;1;2;-3;6124;100;20876;97;None;None;OnGrid;2023-06-16 14:50:59;100;238;214;False;False;
16:51:08;SB;200;1686927059.531334;97;0;False;False;4801;4557;49.95500183105469;False;False;True;False;False;True;1565;1;2;-3;6124;100;20876;97;None;None;OnGrid;2023-06-16 14:50:59;100;238;214;False;False;
16:51:18;SB;200;1686927077.9899852;97;0;False;False;4892;4567;49.95600128173828;False;False;True;False;False;True;850;1;2;-2;5419;100;20876;97;None;None;OnGrid;2023-06-16 14:51:17;100;238;214;False;False;
16:51:27;SB;200;1686927077.9899852;97;0;False;False;4892;4567;49.95600128173828;False;False;True;False;False;True;850;1;2;-2;5419;100;20876;97;None;None;OnGrid;2023-06-16 14:51:17;100;238;214;False;False;
16:53:45;SB;200;1686927225.3559656;1247;0;False;True;3513;3526;49.972999572753906;True;True;True;False;False;False;-146;1;2;1248;2132;100;20744;1247;None;None;OnGrid;2023-06-16 14:53:44;100;239;212;False;False;
16:53:54;SB;200;1686927225.3559656;1247;0;False;True;3513;3526;49.972999572753906;True;True;True;False;False;False;-146;1;2;1248;2132;100;20744;1247;None;None;OnGrid;2023-06-16 14:53:44;100;239;212;False;False;
16:54:04;SB;200;1686927244.0023017;97;0;False;False;3119;2525;49.99399948120117;False;False;True;False;False;True;1053;1;2;-2;3580;100;20783;97;None;None;OnGrid;2023-06-16 14:54:03;100;238;213;False;False;
16:54:13;SB;200;1686927244.0023017;97;0;False;False;3119;2525;49.99399948120117;False;False;True;False;False;True;1053;1;2;-2;3580;100;20783;97;None;None;OnGrid;2023-06-16 14:54:03;100;238;213;False;False;
